turkish,english
bir,one
bu,this
ne,What
ve,and
mi,Did you
için,for
çok,very
ben,I
o,he is
de,also
evet,Yes
var,there is
ama,but
mı,is
değil,not
da,in
hayır,no
sen,joyful
şey,thing
daha,more
bana,to me
kadar,until
seni,you
beni,me
iyi,good
tamam,OK
onu,him-her-it
bunu,this
gibi,like
yok,no
benim,just me
her,each
sana,you
ki,that
sadece,only
neden,why
burada,here
senin,your
ya,either
zaman,time
hiç,no
şimdi,now
nasıl,how
sonra,Then
olduğunu,that
en,-most
mu,is
misin,will you
hadi,let's
şu,That
öyle,so
güzel,beautiful
biraz,some
musun,Do you
önce,prior to
İyi,Good
lütfen,Please
ona,him
bak,look
böyle,such
oldu,it was
hey,Hey
istiyorum,I want
geri,back
onun,her
bile,even
gerçekten,really
artık,no longer
kim,who
eğer,if
bay,Mr
yani,so
çünkü,because
biliyorum,I know
doğru,right
büyük,big
buraya,here
peki,Well
başka,another
belki,maybe
tanrım,my god
olarak,as
tek,single
efendim,Sir
biri,someone
haydi,lets
olur,would
et,meat
olacak,it will be
olan,one
adam,man
İşte,Request
merhaba,Hi
sanırım,I think
teşekkürler,Thank you
orada,there
nerede,where
biz,we
demek,say
hiçbir,no
yardım,help
ederim,I would
bilmiyorum,I do not know
gün,day
a,a
gece,night
in,of
fazla,much
bütün,all
harika,wonderful
yeni,new
bunun,its
iki,two
gel,come
biliyor,he knows
tüm,all
ile,with
kötü,bad
oh,oh
olsun,get
küçük,small
tam,full
ol,be
son,end
siz,you
şeyler,things
şeyi,thing
bayan,Lady
hemen,now
sorun,problem
size,to you
üzgünüm,sorry
ver,give
onları,them
lanet,curse
teşekkür,thank
ın,of
git,go
devam,continuation
i,I
kız,girl
dostum,my friend
pekala,well
sizi,you
gerek,need
bizi,us
e,to
bize,to us
dur,Stop
hakkında,about
buna,this
aynı,same
oluyor,is happening
kendi,own
anne,mom
baba,father
mısın,will you
diye,that
iş,business
kimse,nobody
izin,permission
asla,never
hala,still
tabii,Of course
al,get
seninle,with you
mü,is
selam,Hi
olabilir,can
şunu,it
benimle,with me
söyle,tell
para,money
bizim,our
önemli,important
